[[-40.62066329648191, 59.69280714413473], [-25.550529558752686, 39.30532773978005], [-80.12699222535376, 124.18760728281049], [-8.086802319180919, 10.107964298437317], [-97.99778170753184, 153.04864552818213]]
[[-46.784664468325516, 67.46254534782328], [-27.914229500957028, 30.10183394774118], [-78.88982799321406, 119.36554365111563], [-10.565691800382812, 15.788462136582005], [-87.21967175676868, 148.16329673520266]]
[[-43.8903624834684, 64.72940533262864], [-22.047246625298264, 29.141022141601333], [-81.25226132785065, 129.51861483497783], [-10.1837178115272, 16.630203478771378], [-89.45649887245422, 140.50063071494912]]
[[-49.60761623426643, 75.4787590144519], [-23.93249233782504, 29.48572054200049], [-78.9968462668439, 116.94223194671982], [-10.661946447655975, 16.3980691637338], [-97.6718313089424, 146.49786093226282]]
[[-44.38669799220944, 67.79251449488075], [-24.46675681242549, 39.74940581451746], [-81.74813821882137, 131.99809860645587], [-10.532908171767794, 16.532908171767794], [-92.51285725122011, 151.72497991977485]]
[[-48.04561310172265, 72.49235607915233], [-21.83612538044487, 27.988706377747526], [-83.45659882846503, 123.74268850287108], [-9.017102977620802, 13.113656150807397], [-97.78823426847649, 157.4869330483281]]
[[-45.472582857651496, 73.65597461330374], [-21.21384448314634, 21.045086058535247], [-81.22072351738342, 129.92121416273378], [-10.3980691637338, 16.43235133315716], [-92.46309243575641, 134.218718074271]]
[[-45.288935483628165, 62.657971990872674], [-19.84544761218698, 30.048847414767884], [-81.74158943202914, 126.61857907223957], [-10.661946447655975, 16.3980691637338], [-86.82130187041474, 144.34961094631524]]
[[-50.04739692362469, 71.61008058700497], [-23.531318694630087, 34.028525221776064], [-80.40506907078779, 125.26838720972113], [-10.256883247400832, 16.724442197919576], [-94.31194922660748, 143.89711043667978]]
[[-49.1535714682497, 74.06834985295191], [-21.60948633397135, 23.27231784281694], [-70.59976406890948, 124.82901582459786], [-6.892831282701635, 6.4152074973911635], [-101.66618394376385, 149.6718313089424]]
[[-39.92674970345009, 56.03554769271852], [-20.249643488710475, 20.49291967148396], [-79.62291451155708, 129.46974249221762], [-10.693357058128598, 16.183717811527202], [-90.24847511512884, 144.1670174640784]]
[[-42.24911333529028, 61.48715701681593], [-20.38402499130388, 23.925347571405442], [-81.16406407132449, 123.16047339621896], [-10.3980691637338, 16.755208542843267], [-99.2816570554711, 155.80466587586693]]
[[-42.37079471601457, 61.74908891559343], [-23.513766494801665, 25.55484695294632], [-81.95154178258143, 116.57838472596302], [-10.630203478771378, 16.630203478771378], [-87.74797976935935, 146.24790054462835]]
[[-42.38695992207181, 61.15720788800526], [-27.051308932862405, 37.75688566224383], [-80.14274018807515, 131.01858050663847], [-9.488052137836057, 16.256883247400832], [-99.4971393419259, 158.51466858276007]]
[[-44.39248417105251, 61.22633103847896], [-23.065816343535587, 32.4217766465388], [-86.04166834274614, 126.98136022087157], [-9.702754264897532, 15.702754264897532], [-99.60733766499303, 150.17614465730486]]
[[-44.28788941275086, 73.97738010449511], [-18.08758906717708, 20.394309755146484], [-86.04166834274614, 131.1845533098704], [-7.9956302111145146, 13.102921794399938], [-94.21180737130831, 145.5826224736042]]
[[-50.47378253383795, 69.82107643012505], [-21.12663024091794, 26.842183474645754], [-79.61857907223957, 121.36739593291816], [-9.462673785702721, 13.304743166985675], [-98.35217483684244, 150.94353188873762]]
[[-40.36403419919971, 58.657971990872674], [-19.176433233632057, 21.548438154903575], [-76.9548255109901, 121.5789945570434], [-9.513175452471064, 13.513175452471064], [-104.55283524866434, 152.27245733207002]]
[[-47.04561310172265, 70.79251449488075], [-21.27167809422523, 27.10448793990243], [-74.25250720071453, 128.89147798708956], [-9.871789254203982, 16.630203478771378], [-89.58502898976148, 135.80235373139078]]
[[-49.1535714682497, 74.74993177637718], [-22.74956426397947, 26.160473777848143], [-80.67989386123962, 132.26326537414235], [-10.499762325806984, 16.499762325806984], [-89.0616013979812, 134.42414788173338]]
[[-44.80446754755035, 69.44649407207027], [-22.718525488273198, 28.90572862788927], [-83.76992725037579, 129.7699272503758], [-9.113656150807397, 13.384955373046646], [-91.7345895444925, 151.64944289199534]]
[[-48.04561310172265, 71.8082550314746], [-20.78418511800111, 23.27231784281694], [-80.67989386123962, 125.45553944000667], [-7.646160884164679, 14.284297940386935], [-95.44058988169809, 156.09479384724938]]
[[-36.55007528835467, 55.044854980868536], [-19.04133242788052, 24.79629012389063], [-80.25444680522781, 124.9968462668439], [-10.256883247400832, 16.363390705690165], [-90.75053995130172, 153.89132136556793]]
[[-41.49120205615963, 61.32295472570512], [-23.550750695277184, 29.353464234838036], [-80.26897544911462, 119.29153379999315], [-10.693357058128598, 16.532908171767794], [-96.59497394487713, 147.25350071100326]]
[[-41.35926512764623, 60.10362577140255], [-24.131383600765623, 27.10183394774118], [-84.5255344030625, 132.5255344030625], [-10.565691800382812, 16.1464548805861], [-92.58262247360419, 156.8740721036367]]
[[-43.44026068918029, 75.8845594539349], [-17.867162587498715, 24.342450187434636], [-77.09485881295731, 125.4925953516111], [-8.711029322755545, 12.298186904948562], [-99.18944458315084, 148.52142976784097]]
[[-45.44649407207027, 68.16190205110922], [-23.873924877833986, 37.873924877833986], [-69.12650233753199, 121.68371761556386], [-10.363390705690165, 16.292807518130267], [-92.0851388145025, 134.13059652820795]]
[[-35.748140659731924, 60.01221396625629], [-20.586663296879365, 17.229864438753197], [-76.18898650119306, 122.877883586454], [-6.5918589057636, 6.6990345818669], [-96.39359454467578, 138.66692376064424]]
[[-47.8984384427947, 74.81509396971623], [-25.93919356649124, 36.01655087563729], [-76.87152931418395, 127.75229598355308], [-8.015546530415488, 9.837922164933888], [-95.42729612397183, 152.7968768855894]]
[[-43.49382082853053, 71.08159877905811], [-17.173604638361837, 23.76991074609329], [-78.30059080174625, 123.18760728281049], [-10.432351333157161, 16.661946447655975], [-94.58262247360419, 151.23450910351312]]
[[-47.04561310172265, 70.64329433287845], [-22.090192415014844, 30.260406957542756], [-79.79270031742271, 123.04523439659857], [-10.755208542843267, 16.755208542843267], [-93.21180737130831, 146.40013072914718]]
[[-36.340298642266404, 66.93215754803], [-22.79923248869504, 34.532107537337986], [-80.27245619029641, 131.4588106652573], [-10.630203478771378, 16.630203478771378], [-100.8460628871859, 142.5850289897615]]
[[-47.04561310172265, 76.99889085376591], [-25.433601753675, 47.237742800901955], [-80.27245619029641, 122.66490684393027], [-10.661946447655975, 16.43235133315716], [-94.89116199841445, 152.35217483684244]]
[[-33.649797886699915, 49.72049352285866], [-24.065816343535587, 27.922038733275937], [-77.38536717503186, 130.90712564552132], [-10.146454880586099, 16.532908171767794], [-92.67616551652655, 154.30714293649942]]
[[-45.2632421718611, 65.2632421718611], [-23.644467741814083, 37.023698461812344], [-80.01718542416393, 132.223849253228], [-7.97749744594168, 13.002389230379947], [-96.33276459228655, 152.60650818309102]]
[[-44.44649407207027, 73.13525817560574], [-21.74893937953485, 26.12663024091794], [-78.9548255109901, 118.65158867625804], [-9.113656150807397, 13.462673785702721], [-94.88304256231412, 150.0310086479349]]
[[-41.32295472570512, 58.85977715679813], [-23.891069636532507, 28.70861604670989], [-79.75229598355308, 128.25444680522781], [-10.532908171767794, 16.661946447655975], [-100.8460628871859, 156.2816570554711]]
[[-40.77689533577541, 75.35012277606846], [-23.57425457403327, 34.877702587770294], [-76.504908408364, 123.8169437076939], [-8.923936066836607, 13.27742347647316], [-93.34808394856998, 150.79617354591014]]
